date_id,n_feats
7222,18
7242,16
7262,4
7282,7
7302,21
7322,4
7342,5
7362,8
7382,5
7402,4
7422,6
7442,5
7462,3
7482,2
7502,1
7522,4
7542,3
7562,5
7582,5
7602,3
7622,5
7642,14
7662,3
7682,5
7702,6
7722,2
7742,1
7762,2
7782,6
7802,3
7822,6
7842,4
7862,8
7882,10
7902,10
7922,8
7942,3
7962,1
7982,5
8002,2
8022,1
8042,0
8062,3
8082,3
8102,2
8122,8
8142,8
8162,4
8182,3
8202,8
8222,4
8242,9
8262,12
8282,9
8302,6
8322,6
8342,5
8362,7
8382,6
8402,5
8422,7
8442,5
8462,5
8482,6
8502,9
8522,8
8542,9
8562,15
8582,16
8602,12
8622,10
8642,12
8662,7
8682,8
8702,4
8722,5
8742,9
8762,6
8782,7
8802,7
8822,6
8842,3
8862,4
8882,7
8902,8
8922,11
8942,7
8962,8
8982,6
9002,2
