date_id,n_feats
7226,12
7246,12
7266,18
7286,20
7306,20
7326,9
7346,26
7366,20
7386,23
7406,13
7426,15
7446,22
7466,19
7486,19
7506,15
7526,14
7546,16
7566,8
7586,15
7606,15
7626,21
7646,20
7666,21
7686,20
7706,16
7726,19
7746,15
7766,20
7786,9
7806,29
7826,22
7846,21
7866,11
7886,17
7906,22
7926,17
7946,18
7966,19
7986,10
8006,12
8026,9
8046,12
8066,19
8086,14
8106,20
8126,18
8146,21
8166,14
8186,15
8206,12
8226,13
8246,21
8266,16
8286,8
8306,17
8326,10
8346,18
8366,11
8386,22
8406,7
8426,23
8446,17
8466,19
8486,21
8506,17
8526,17
8546,16
8566,19
8586,17
8606,16
8626,10
8646,9
8666,15
8686,18
8706,11
8726,15
8746,17
8766,8
8786,18
8806,12
8826,17
8846,18
8866,17
8886,15
8906,20
8926,19
8946,17
8966,13
8986,15
9006,15
